scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
allDistrict_who030718_v2,cases,2018,155965.13727410632,156003.65234507874,154075.57894626324,158662.17655265218,allDistrict
allDistrict_who030718_v2,cases,2019,159503.87952300167,159542.30659891394,157566.51409815202,162262.7825840469,allDistrict
allDistrict_who030718_v2,cases,2020,163357.39137572955,163395.5802650778,161368.0014637946,166183.46567932726,allDistrict
allDistrict_who030718_v2,cases,2021,167551.76553880214,167589.5487837048,165505.78238860634,170450.75241163,allDistrict
allDistrict_who030718_v2,cases,2022,172117.89426972694,172155.08536084593,170010.33566908684,175096.04861608954,allDistrict
allDistrict_who030718_v2,cases,2023,177160.18357908496,177196.5383253631,174984.71305039336,180225.49024313389,allDistrict
allDistrict_who030718_v2,cases,2024,182392.015286403,182427.4340599621,180145.94122665093,185547.72482493924,allDistrict
allDistrict_who030718_v2,cases,2025,187777.0270444924,187812.59793390686,185458.12009340036,191026.98234359396,allDistrict
allDistrict_who030718_v2,cases,2026,193320.8838703211,193356.65757419777,190926.73817478807,196667.97488916467,allDistrict
allDistrict_who030718_v2,cases,2027,199028.4115934829,199064.38325776017,196556.6217890506,202475.5601557776,allDistrict
allDistrict_who030718_v2,cases,2028,204904.52612950647,204940.6917874519,202352.6098806017,208454.74311565625,allDistrict
allDistrict_who030718_v2,cases,2029,210954.2941199923,210990.64932763044,208319.6900038559,214610.68331149945,allDistrict
allDistrict_who030718_v2,cases,2030,217182.93787163403,217219.4789871791,214462.80331394158,220948.70036012502,allDistrict
allDistrict_who030718_v2,cases,2031,224740.8085773558,224776.79553802582,221915.87505260267,228638.18675969524,allDistrict
allDistrict_who030718_v2,cases,2032,232331.63794408482,232368.73182377033,229402.56535628377,236363.0377991041,allDistrict
allDistrict_who030718_v2,cases,2033,239937.61396447918,239976.29055385973,236904.10152988942,244103.9374070868,allDistrict
allDistrict_who030718_v2,cases,2034,247536.75173666357,247577.26132397098,244398.5340128517,251838.29476236633,allDistrict
allDistrict_who030718_v2,cases,2035,255132.5793003804,255175.1793794274,251889.33156815614,259569.7118603412,allDistrict
allDistrict_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,allDistrict
allDistrict_who030718_v2,cases_cf,2019,161521.97546576947,161559.34263481837,159558.73965084984,164314.2468569085,allDistrict
allDistrict_who030718_v2,cases_cf,2020,166186.77106887058,166223.45901513819,164161.05486831316,169059.6301409517,allDistrict
allDistrict_who030718_v2,cases_cf,2021,170988.67900838162,171024.619500972,168898.49534771807,173944.4996682187,allDistrict
allDistrict_who030718_v2,cases_cf,2022,175931.80715170014,175966.9283750369,173775.10576377533,178973.03389662216,allDistrict
allDistrict_who030718_v2,cases_cf,2023,181020.38905661512,181054.61598901558,178795.054771143,184149.5400952747,allDistrict
allDistrict_who030718_v2,cases_cf,2024,186258.78734482476,186292.0407928744,183962.63691573215,189478.4560907594,allDistrict
allDistrict_who030718_v2,cases_cf,2025,191650.5585026312,191683.69516557505,189281.59116574712,194964.35606014164,allDistrict
allDistrict_who030718_v2,cases_cf,2026,197200.88090370776,197234.20814107746,194756.46182598287,200611.95346905754,allDistrict
allDistrict_who030718_v2,cases_cf,2027,202914.83743755837,202948.3512476482,200392.56143515385,206426.10680523148,allDistrict
allDistrict_who030718_v2,cases_cf,2028,208797.34662781033,208831.0427465118,206194.7315891929,212411.82396756465,allDistrict
allDistrict_who030718_v2,cases_cf,2029,214853.47535499214,214887.35013172435,212167.9610245994,218574.26464928195,allDistrict
allDistrict_who030718_v2,cases_cf,2030,221088.44862062854,221122.4979158848,218316.99228313955,224918.74947510083,allDistrict
allDistrict_who030718_v2,cases_cf,2031,227507.6503182679,227541.8703122947,224646.3159242099,231450.75977355108,allDistrict
allDistrict_who030718_v2,cases_cf,2032,234115.0953447814,234151.01612877092,231162.49963396465,238175.9459841226,allDistrict
allDistrict_who030718_v2,cases_cf,2033,240917.62102464,240955.65523150522,237871.16835635767,245100.13369745336,allDistrict
allDistrict_who030718_v2,cases_cf,2034,247921.42526664643,247961.68417908857,244778.120887442,252229.3267196785,allDistrict
allDistrict_who030718_v2,cases_cf,2035,255132.57969603006,255175.1794000566,251889.33170520476,259569.71223755713,allDistrict
allDistrict_who030718_v2,casesAverted,2018,1025.1692855476035,1024.6357977296823,1012.0437784197456,1042.1188466042504,allDistrict
allDistrict_who030718_v2,casesAverted,2019,2018.0959427677858,2017.036035904414,1992.2199465218455,2051.4642728616104,allDistrict
allDistrict_who030718_v2,casesAverted,2020,2829.3796931410297,2827.878750060397,2793.045738235216,2876.164461624446,allDistrict
allDistrict_who030718_v2,casesAverted,2021,3436.913469579491,3435.070717267208,3392.7039366634517,3493.7472565886633,allDistrict
allDistrict_who030718_v2,casesAverted,2022,3813.912881973227,3811.8430141909485,3764.760476063276,3876.9852805326354,allDistrict
allDistrict_who030718_v2,casesAverted,2023,3860.205477530168,3858.077663652461,3810.3207140152126,3924.0498521407735,allDistrict
allDistrict_who030718_v2,casesAverted,2024,3866.7720584217277,3864.6067329123025,3816.6578170187863,3930.7312658201545,allDistrict
allDistrict_who030718_v2,casesAverted,2025,3873.299604858273,3871.097231668192,3822.9569886027084,3937.3737165476928,allDistrict
allDistrict_who030718_v2,casesAverted,2026,3879.79063951816,3877.550566879683,3829.21888111744,3943.9785798928697,allDistrict
allDistrict_who030718_v2,casesAverted,2027,3886.2450668235933,3883.967989888036,3835.445428205363,3950.546649453888,allDistrict
allDistrict_who030718_v2,casesAverted,2028,3892.666089787987,3890.3509590599133,3841.6381798619273,3957.080851908394,allDistrict
allDistrict_who030718_v2,casesAverted,2029,3899.053112959107,3896.700804093886,3847.7855239789774,3963.581337782481,allDistrict
allDistrict_who030718_v2,casesAverted,2030,3905.409146236446,3903.0189287056805,3853.892098271506,3970.0491149757863,allDistrict
allDistrict_who030718_v2,casesAverted,2031,2766.776988296115,2765.0747742688513,2730.2358744794924,2812.573013855856,allDistrict
allDistrict_who030718_v2,casesAverted,2032,1783.387321804541,1782.2843050005863,1759.804386579156,1812.9081850184918,allDistrict
allDistrict_who030718_v2,casesAverted,2033,979.9740520923774,979.3646776454939,966.997953032834,996.1962903665675,allDistrict
allDistrict_who030718_v2,casesAverted,2034,384.66407058187826,384.4228551175887,379.56194764898794,391.03195731215766,allDistrict
allDistrict_who030718_v2,casesAverted,2035,9.804776106903113e-6,2.062919814990005e-5,-5.578042257773947e-4,5.955208469151041e-4,allDistrict
allDistrict_who030718_v2,dalysAverted,2018,937.6106751592547,936.3292259970119,929.7646069586766,944.6750548682359,allDistrict
allDistrict_who030718_v2,dalysAverted,2019,1845.4051258044205,1842.8857846925225,1829.9784953933033,1859.3349547563334,allDistrict
allDistrict_who030718_v2,dalysAverted,2020,2586.791314732349,2583.2630126246436,2565.1367816319926,2606.3535978615087,allDistrict
allDistrict_who030718_v2,dalysAverted,2021,3202.547694973283,3199.8737931571363,3178.723171539547,3229.0401406798874,allDistrict
allDistrict_who030718_v2,dalysAverted,2022,3553.02744822511,3550.1264236225597,3526.5931043751034,3582.597592619137,allDistrict
allDistrict_who030718_v2,dalysAverted,2023,3595.077443286178,3592.2282643775998,3568.3145793598906,3625.1809542658925,allDistrict
allDistrict_who030718_v2,dalysAverted,2024,3600.0792614559787,3597.315015938555,3573.228146069926,3630.3748830767145,allDistrict
allDistrict_who030718_v2,dalysAverted,2025,3605.0336823922953,3602.3555822026724,3578.09533765909,3635.5216374719917,allDistrict
allDistrict_who030718_v2,dalysAverted,2026,3934.4121239136302,3934.4567578076944,3906.010315705114,3978.346660091401,allDistrict
allDistrict_who030718_v2,dalysAverted,2027,3940.1795715882095,3940.2155817343755,3911.5874323783955,3984.3288960029354,allDistrict
allDistrict_who030718_v2,dalysAverted,2028,3945.8908861076616,3945.928189521568,3917.1180781465446,3990.1954368315087,allDistrict
allDistrict_who030718_v2,dalysAverted,2029,3951.556413646304,3951.595858795543,3922.6032511174426,3995.9894887186383,allDistrict
allDistrict_who030718_v2,dalysAverted,2030,3957.1746545581245,3957.219953861871,3928.0449745558703,4001.7390826364135,allDistrict
allDistrict_who030718_v2,dalysAverted,2031,3196.285023254366,3196.572355041541,3170.2121010597753,3235.9876631213965,allDistrict
allDistrict_who030718_v2,dalysAverted,2032,2060.059647564848,2060.263847083119,2043.2461675504364,2085.690519018728,allDistrict
allDistrict_who030718_v2,dalysAverted,2033,1131.9003535198192,1132.0240321264248,1122.657556040009,1146.0089511876024,allDistrict
allDistrict_who030718_v2,dalysAverted,2034,444.2448540468953,444.2960926335708,440.61187501185674,449.7917611567824,allDistrict
allDistrict_who030718_v2,dalysAverted,2035,1.4968578185837755e-5,2.8343456584038565e-5,-6.393514852286904e-4,6.988147972843422e-4,allDistrict
allDistrict_who030718_v2,deathsAverted,2018,42.65714863032514,42.71719141414614,42.32714321176485,43.357121952863935,allDistrict
allDistrict_who030718_v2,deathsAverted,2019,83.96307643992066,84.08089017440498,83.31110975410047,85.34240311754182,allDistrict
allDistrict_who030718_v2,deathsAverted,2020,117.70229204503816,117.86719878103301,116.78515762538436,119.63835334021392,allDistrict
allDistrict_who030718_v2,deathsAverted,2021,142.95650161446622,143.15646003337574,141.83899966620976,145.3112679141876,allDistrict
allDistrict_who030718_v2,deathsAverted,2022,158.6128635712784,158.8343229994527,157.36843260058598,161.22974308607147,allDistrict
allDistrict_who030718_v2,deathsAverted,2023,160.50522448625168,160.72878322015004,159.2398310954754,163.15879519695017,allDistrict
allDistrict_who030718_v2,deathsAverted,2024,160.74439291706636,160.96742067402573,159.47065262857,163.4054803643561,allDistrict
allDistrict_who030718_v2,deathsAverted,2025,160.9814552658387,161.20394781702356,159.69926506481684,163.6476057826159,allDistrict
allDistrict_who030718_v2,deathsAverted,2026,161.21645634603468,161.43842089636686,159.92540901280697,163.88764814567833,allDistrict
allDistrict_who030718_v2,deathsAverted,2027,161.44945068929007,161.67088870901634,160.14825423194944,164.12563975840084,allDistrict
allDistrict_who030718_v2,deathsAverted,2028,161.68048865259837,161.90141047768788,160.36911837008788,164.36170232092746,allDistrict
allDistrict_who030718_v2,deathsAverted,2029,161.90786069525893,162.13003817911002,160.5891681407708,164.59583876520946,allDistrict
allDistrict_who030718_v2,deathsAverted,2030,162.13395164568914,162.3568279421626,160.8077914724717,164.82807674858495,allDistrict
allDistrict_who030718_v2,deathsAverted,2031,114.85334560841935,115.01111954212334,113.91214999845106,116.76225213974534,allDistrict
allDistrict_who030718_v2,deathsAverted,2032,74.02466950793291,74.1262636210753,73.41687438399666,75.25527562974305,allDistrict
allDistrict_who030718_v2,deathsAverted,2033,40.67270436466061,40.72850067966601,40.33809411499036,41.349018905744906,allDistrict
allDistrict_who030718_v2,deathsAverted,2034,15.962900682666184,15.984771421033857,15.831209112485274,16.228414690972485,allDistrict
allDistrict_who030718_v2,deathsAverted,2035,5.512208184607273e-7,1.156924743477966e-6,-2.5120787125974538e-5,2.8831953582938932e-5,allDistrict
hrDistrict2_who030718_v2,cases,2018,141916.54280900583,142321.08039217672,140786.36490249916,145076.81004612503,hrDistrict2
hrDistrict2_who030718_v2,cases,2019,138267.09666067938,138319.55146398686,136931.65239958046,139985.73239073006,hrDistrict2
hrDistrict2_who030718_v2,cases,2020,138255.31855651006,137977.57818945491,136099.74629049317,139493.78413204607,hrDistrict2
hrDistrict2_who030718_v2,cases,2021,132497.36855975803,132576.68537370072,131132.6745921236,134593.86165696607,hrDistrict2
hrDistrict2_who030718_v2,cases,2022,135366.83096195484,135349.749786806,133751.02590123186,137336.22738841464,hrDistrict2
hrDistrict2_who030718_v2,cases,2023,139864.86038385943,139977.3102856223,138350.9705905244,141753.12763076555,hrDistrict2
hrDistrict2_who030718_v2,cases,2024,143355.16856167658,143578.27529092258,142210.54901670275,145349.700265268,hrDistrict2
hrDistrict2_who030718_v2,cases,2025,157916.664087497,158140.95528190964,156772.83221860701,160277.91780594553,hrDistrict2
hrDistrict2_who030718_v2,cases,2026,162466.06633198698,162288.39879310722,160887.82187148024,163285.18677503162,hrDistrict2
hrDistrict2_who030718_v2,cases,2027,158916.21265439855,159267.83696215643,157993.9810652332,161497.29923312383,hrDistrict2
hrDistrict2_who030718_v2,cases,2028,171009.55442423705,171373.99767646834,169778.96623835404,174005.87214413195,hrDistrict2
hrDistrict2_who030718_v2,cases,2029,176308.42979897646,176154.8158589536,174449.0991899633,177476.01367033878,hrDistrict2
hrDistrict2_who030718_v2,cases,2030,170814.815187936,171093.93484919134,169806.57639848438,173207.43298753272,hrDistrict2
hrDistrict2_who030718_v2,cases,2031,195391.4575769885,195830.97784699177,193926.0964163155,198976.42363214158,hrDistrict2
hrDistrict2_who030718_v2,cases,2032,217565.52627700262,217856.3411181797,215379.84560716857,221333.9331152451,hrDistrict2
hrDistrict2_who030718_v2,cases,2033,231054.82916037145,231241.08529353671,228479.15525705574,235130.19089431068,hrDistrict2
hrDistrict2_who030718_v2,cases,2034,243778.57929860073,243934.22209939457,240900.26812945842,248204.19241540637,hrDistrict2
hrDistrict2_who030718_v2,cases,2035,255132.5793003804,255175.1793794274,251889.33156815614,259569.7118603412,hrDistrict2
hrDistrict2_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,hrDistrict2
