scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
allDistrict_who030718_v2,cases,2018,155965.13725875056,156003.65234285733,154075.5789563727,158662.17656942937,allDistrict
allDistrict_who030718_v2,cases,2019,315468.05727032386,315545.00010173226,311641.14620641427,320923.9842678039,allDistrict
allDistrict_who030718_v2,cases,2020,478692.2900857888,478807.49364314805,472877.70248890086,486972.0897824293,allDistrict
allDistrict_who030718_v2,cases,2021,645867.2415146134,646020.4337539417,638011.5277740894,657039.7967279017,allDistrict
allDistrict_who030718_v2,cases,2022,817274.5595110205,817465.3336936512,807320.4637897077,831413.5166103605,allDistrict
allDistrict_who030718_v2,cases,2023,993323.7371149613,993551.4849126713,981208.5468365102,1010509.6246494036,allDistrict
allDistrict_who030718_v2,cases,2024,1174163.7652785843,1174427.8071592972,1159822.6240504622,1194479.689795749,allDistrict
allDistrict_who030718_v2,cases,2025,1359948.0991055556,1360247.6813938085,1343313.9388482897,1383479.823409183,allDistrict
allDistrict_who030718_v2,cases,2026,1550834.798879235,1551169.0889976886,1531838.2674265965,1577670.8215678902,allDistrict
allDistrict_who030718_v2,cases,2027,1746986.6739489036,1747354.7565250013,1725556.060762901,1777218.3107806074,allDistrict
allDistrict_who030718_v2,cases,2028,1948571.4317511958,1948972.3046564164,1924632.5930885158,1982292.90218814,allDistrict
allDistrict_who030718_v2,cases,2029,2155761.8298166827,2156194.3993839086,2129238.109579211,2193070.342356139,allDistrict
allDistrict_who030718_v2,cases,2030,2368729.043811843,2369198.9109968743,2339540.6978679323,2409731.6795746055,allDistrict
allDistrict_who030718_v2,cases,2031,2590355.6729311417,2590863.5168848834,2558385.0674208966,2635204.2114376756,allDistrict
allDistrict_who030718_v2,cases,2032,2820607.739581408,2821152.441428579,2785737.411324727,2869451.7058186084,allDistrict
allDistrict_who030718_v2,cases,2033,3059375.1213082797,3059955.7520464216,3021488.669113098,3112362.504163016,allDistrict
allDistrict_who030718_v2,cases,2034,3306461.6687536323,3307077.549512383,3265444.880780194,3363737.505508084,allDistrict
allDistrict_who030718_v2,cases,2035,3561601.9796156054,3562252.7288918104,3517343.7321069455,3623307.2173684253,allDistrict
allDistrict_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,allDistrict
allDistrict_who030718_v2,cases_cf,2019,318512.28202542337,318587.63077762676,314646.36528378853,324018.54225616495,allDistrict
allDistrict_who030718_v2,cases_cf,2020,484699.053094294,484811.089792765,478807.4201521016,493078.1723971166,allDistrict
allDistrict_who030718_v2,cases_cf,2021,655687.7321026756,655835.709293737,647705.9154998197,667022.6720653353,allDistrict
allDistrict_who030718_v2,cases_cf,2022,831619.5392543757,831802.6376687739,821481.0212635951,845995.7059619576,allDistrict
allDistrict_who030718_v2,cases_cf,2023,1012639.9283109909,1012857.2536577894,1000276.076034738,1030145.2460572321,allDistrict
