scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
allDistrict_who030718_v2,cases,2018,155985.77982185458,156024.2841827956,154095.95729259794,158683.16058990595,allDistrict
allDistrict_who030718_v2,cases,2019,159527.86588419575,159566.28035063416,157590.1928343565,162287.16568302995,allDistrict
allDistrict_who030718_v2,cases,2020,163254.3946872652,163292.63918735663,161266.3302874531,166078.76595560042,allDistrict
allDistrict_who030718_v2,cases,2021,167210.69288359198,167248.66188129032,165169.10669868372,170104.03903510587,allDistrict
allDistrict_who030718_v2,cases,2022,171448.2153229653,171485.77508140577,169349.30587173722,174415.29398778095,allDistrict
allDistrict_who030718_v2,cases,2023,176093.07776946935,176130.0270471883,173931.41555971035,179140.7345194281,allDistrict
allDistrict_who030718_v2,cases,2024,180886.950408503,180923.25857124818,178660.3772811572,184017.80482433367,allDistrict
allDistrict_who030718_v2,cases,2025,185833.13403098576,185869.92797217236,183539.37377817003,189051.04484445316,allDistrict
allDistrict_who030718_v2,cases,2026,190937.3550635171,190974.63268897624,188574.1174734554,194245.13492332472,allDistrict
allDistrict_who030718_v2,cases,2027,196204.35555694034,196242.11495377132,193769.27637799384,199604.90424530455,allDistrict
allDistrict_who030718_v2,cases,2028,201639.02751803398,201677.26594587343,199129.66492942933,205135.33329482446,allDistrict
allDistrict_who030718_v2,cases,2029,207246.41236118408,207285.1281194362,204660.24652828358,210841.5557079043,allDistrict
allDistrict_who030718_v2,cases,2030,213031.7121506544,213070.90298657736,210366.1414034134,216728.8690692979,allDistrict
allDistrict_who030718_v2,cases,2031,221684.5356847723,221722.47521077754,218899.82209806444,225531.39627730104,allDistrict
allDistrict_who030718_v2,cases,2032,230300.030149183,230338.46101468368,227397.75516440425,234297.88285934573,allDistrict
allDistrict_who030718_v2,cases,2033,238805.3595930168,238844.77875803265,235786.79051475567,242952.98020697135,allDistrict
allDistrict_who030718_v2,cases,2034,247115.34255522687,247156.12823021124,243982.68809165462,251409.9231994285,allDistrict
allDistrict_who030718_v2,cases,2035,255132.5793003804,255175.1793794274,251889.33156815614,259569.7118603412,allDistrict
allDistrict_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,allDistrict
allDistrict_who030718_v2,cases_cf,2019,161521.97546576947,161559.34263481837,159558.73965084984,164314.2468569085,allDistrict
allDistrict_who030718_v2,cases_cf,2020,166186.77106887058,166223.45901513819,164161.05486831316,169059.6301409517,allDistrict
allDistrict_who030718_v2,cases_cf,2021,170988.67900838162,171024.619500972,168898.49534771807,173944.4996682187,allDistrict
allDistrict_who030718_v2,cases_cf,2022,175931.80715170014,175966.9283750369,173775.10576377533,178973.03389662216,allDistrict
allDistrict_who030718_v2,cases_cf,2023,181020.38905661512,181054.61598901558,178795.054771143,184149.5400952747,allDistrict
allDistrict_who030718_v2,cases_cf,2024,186258.78734482476,186292.0407928744,183962.63691573215,189478.4560907594,allDistrict
allDistrict_who030718_v2,cases_cf,2025,191650.5585026312,191683.69516557505,189281.59116574712,194964.35606014164,allDistrict
allDistrict_who030718_v2,cases_cf,2026,197200.88090370776,197234.20814107746,194756.46182598287,200611.95346905754,allDistrict
allDistrict_who030718_v2,cases_cf,2027,202914.83743755837,202948.3512476482,200392.56143515385,206426.10680523148,allDistrict
allDistrict_who030718_v2,cases_cf,2028,208797.34662781033,208831.0427465118,206194.7315891929,212411.82396756465,allDistrict
allDistrict_who030718_v2,cases_cf,2029,214853.47535499214,214887.35013172435,212167.9610245994,218574.26464928195,allDistrict
allDistrict_who030718_v2,cases_cf,2030,221088.44862062854,221122.4979158848,218316.99228313955,224918.74947510083,allDistrict
allDistrict_who030718_v2,cases_cf,2031,227507.6503182679,227541.8703122947,224646.3159242099,231450.75977355108,allDistrict
allDistrict_who030718_v2,cases_cf,2032,234115.0953447814,234151.01612877092,231162.49963396465,238175.9459841226,allDistrict
allDistrict_who030718_v2,cases_cf,2033,240917.62102464,240955.65523150522,237871.16835635767,245100.13369745336,allDistrict
allDistrict_who030718_v2,cases_cf,2034,247921.42526664643,247961.68417908857,244778.120887442,252229.3267196785,allDistrict
allDistrict_who030718_v2,cases_cf,2035,255132.57969603006,255175.1794000566,251889.33170520476,259569.71223755713,allDistrict
allDistrict_who030718_v2,casesAverted,2018,1004.5267377993625,1004.0039600128011,991.665490372865,1021.134809350508,allDistrict
allDistrict_who030718_v2,casesAverted,2019,1994.1095815737037,1993.0622841842128,1968.5412711578726,2027.081173878544,allDistrict
allDistrict_who030718_v2,casesAverted,2020,2932.376381605395,2930.8198277815577,2894.7166427905836,2980.8641853512618,allDistrict
allDistrict_who030718_v2,casesAverted,2021,3777.986124789658,3775.957619681694,3729.378775771478,3840.4606331128425,allDistrict
allDistrict_who030718_v2,casesAverted,2022,4483.591828734883,4481.153293631132,4425.788647908536,4557.73990884119,allDistrict
allDistrict_who030718_v2,casesAverted,2023,4927.31128714578,4924.588941827251,4863.609555249646,5008.805575846565,allDistrict
allDistrict_who030718_v2,casesAverted,2024,5371.796435120581,5368.782221626233,5302.149815332587,5460.651266425715,allDistrict
allDistrict_who030718_v2,casesAverted,2025,5817.081485706564,5813.767193402675,5741.4466761145495,5913.311215688473,allDistrict
allDistrict_who030718_v2,casesAverted,2026,6263.197809269683,6259.575452101212,6181.531234290147,6366.8185457328345,allDistrict
allDistrict_who030718_v2,casesAverted,2027,6710.174880727962,6706.236293876871,6622.433817302746,6821.202559926917,allDistrict
allDistrict_who030718_v2,casesAverted,2028,7158.03991657183,7153.776800638403,7064.179025791324,7276.490672740193,allDistrict
allDistrict_who030718_v2,casesAverted,2029,7606.817541426271,7602.222012288119,7506.766197795027,7732.70894137761,allDistrict
allDistrict_who030718_v2,casesAverted,2030,8056.531345332032,8051.594929307453,7950.225682891864,8189.880405802899,allDistrict
allDistrict_who030718_v2,casesAverted,2031,5822.98014753976,5819.395101517138,5746.062551438928,5919.3634962500555,allDistrict
allDistrict_who030718_v2,casesAverted,2032,3814.915322581429,3812.5551140872303,3764.4674698127737,3878.0631247768374,allDistrict
allDistrict_who030718_v2,casesAverted,2033,2112.1891449904783,2110.8764734725605,2084.2277981272505,2147.1534904820232,allDistrict
